Показник,Значення,Рік,Громада,Джерело
Домогосподарств із газопостачанням,"145300,00",2018,Вінниця,Енергоменеджер
Домогосподарств із гарячим водопостачанням,"48895,00",2018,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,"781595,60",2018,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,"36997,00",2018,Вінниця,Енергоменеджер
"Енергія із ВДЕ, вироблена в громаді","13734927,00",2019,Вінниця,Енергоменеджер
Спожито холодної води населенням,"11172517,00",2019,Вінниця,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,"19483315,00",2019,Вінниця,Енергоменеджер
Втрат води в мережах,"9349140,00",2019,Вінниця,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку","24201950,00",2019,Вінниця,Енергоменеджер
Годин без холодного водопостачання внаслідок аварій,"4,00",2019,Вінниця,Енергоменеджер
Аварій в системі холодного водопостачання,"1579,00",2019,Вінниця,Енергоменеджер
Мереж водопостачання в аварійному стані,"169,60",2019,Вінниця,Енергоменеджер
Годин без водовідведення та каналізації внаслідок аварій,"4,00",2019,Вінниця,Енергоменеджер
Аварій в системі водовідведення та каналізації,"37,00",2019,Вінниця,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,"90,60",2019,Вінниця,Енергоменеджер
Домогосподарств із централізованим водопостачанням,"129483,00",2019,Вінниця,Енергоменеджер
Викидів СО2 за рік,"1719006,48",2019,Вінниця,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,"2,00",2019,Вінниця,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,"54,00",2019,Вінниця,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях","8,00",2019,Вінниця,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом","125,00",2019,Вінниця,Енергоменеджер
Коштів на мотивацію енергоменеджерів та установ,"0,10",2019,Вінниця,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком","74,00",2019,Вінниця,Енергоменеджер
Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,"16,00",2019,Вінниця,Енергоменеджер
Використано палива за рік,"1397932960,00",2019,Вінниця,Енергоменеджер
Використано бензину за рік,"272145690,00",2019,Вінниця,Енергоменеджер
Використано дизпалива за рік,"990283140,00",2019,Вінниця,Енергоменеджер
Використано автомобільних газів за рік,"135504130,00",2019,Вінниця,Енергоменеджер
Використано електроенергії транспортними засобами за рік,"30838720,00",2019,Вінниця,Енергоменеджер
"Вся енергія, спожита в громаді","1455613011,80",2019,Вінниця,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,"607466372,80",2019,Вінниця,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,"34869,20",2019,Вінниця,Енергоменеджер
Спожито гарячої води від підприємств ГВП,"8233,60",2019,Вінниця,Енергоменеджер
Годин без електропостачання внаслідок аварій,"2172,00",2019,Вінниця,Енергоменеджер
Аварій в системі електропостачання,"1326,00",2019,Вінниця,Енергоменеджер
Годин без теплопостачання внаслідок аварій,"6174,00",2019,Вінниця,Енергоменеджер
Аварій в системі теплопостачання,"211,00",2019,Вінниця,Енергоменеджер
Годин без газопостачання внаслідок аварій,"327,00",2019,Вінниця,Енергоменеджер
Аварій в системі газопостачання,"8,00",2019,Вінниця,Енергоменеджер
Годин без гарячого водопостачання внаслідок аварій,"40503,00",2019,Вінниця,Енергоменеджер
Аварій в системі гарячого водопостачання,"439,00",2019,Вінниця,Енергоменеджер
Домогосподарств із централізованим теплопостачанням,"82635,00",2019,Вінниця,Енергоменеджер
Домогосподарств із централізованим ГВП,"47973,00",2019,Вінниця,Енергоменеджер
Кількість діб надання ГВП,"365,00",2019,Вінниця,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,"22439,00",2019,Вінниця,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,"22249,00",2019,Вінниця,Енергоменеджер
Спожито енергії в закладах культури,"417,08",2019,Вінниця,Енергоменеджер
Спожито енергії в спортивних закладах,"134,47",2019,Вінниця,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,"3797,83",2019,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"251117049,00",2019,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"407553579,00",2019,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"812408707,33",2019,Вінниця,Енергоменеджер
Спожито гарячої води в житловому секторі,"75283815,10",2019,Вінниця,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,"407561670,30",2019,Вінниця,Енергоменеджер
Спожито енергії в приватних будинках,"78335115,00",2019,Вінниця,Енергоменеджер
Спожито енергії в житловому секторі,"658670628,00",2019,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"251117049,00",2019,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"407553579,00",2019,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"812408707,33",2019,Вінниця,Енергоменеджер
Видатки на ПЕР в бюджетних установах,"134,69",2019,Вінниця,Енергоменеджер
"Осіб, котрим надається водопостачання","362972,00",2019,Вінниця,Енергоменеджер
Спожито енергоресурсів підприємствами водопостачання,"23995000,00",2019,Вінниця,Енергоменеджер
Каналізаційних стоків за рік,"24201950,00",2019,Вінниця,Енергоменеджер
Мулу із каналізаційних стоків за рік,"16494,60",2019,Вінниця,Енергоменеджер
Мереж водопостачання,"630,40",2019,Вінниця,Енергоменеджер
Мереж водовідведення та каналізації,"548,20",2019,Вінниця,Енергоменеджер
Бюджетних установ,"125,00",2019,Вінниця,Енергоменеджер
Структурних підрозділів в ОМС,"32,00",2019,Вінниця,Енергоменеджер
Транспортних засобів,"14405,00",2019,Вінниця,Енергоменеджер
Транспортних засобів із ДВЗ,"10240,00",2019,Вінниця,Енергоменеджер
Транспортних засобів із ГБО,"81,00",2019,Вінниця,Енергоменеджер
Електромобілів,"327,00",2019,Вінниця,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,"949137819,00",2019,Вінниця,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,"949137819,00",2019,Вінниця,Енергоменеджер
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,-,2019,Вінниця,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,"11717,00",2019,Вінниця,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,"41681,00",2019,Вінниця,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,"132,00",2019,Вінниця,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,"1100,00",2019,Вінниця,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,"106006,00",2019,Вінниця,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,"198205,00",2019,Вінниця,Енергоменеджер
Домогосподарств із електропостачанням,"153712,00",2019,Вінниця,Енергоменеджер
Домогосподарств із теплопостачанням,"82635,00",2019,Вінниця,Енергоменеджер
Домогосподарств із газопостачанням,"147362,00",2019,Вінниця,Енергоменеджер
Домогосподарств із гарячим водопостачанням,"47973,00",2019,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,"782510,20",2019,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,"37280,90",2019,Вінниця,Енергоменеджер
"Енергія із ВДЕ, вироблена в громаді","6480437,00",2020,Вінниця,Енергоменеджер
Спожито холодної води населенням,"10930587,00",2020,Вінниця,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,"18291653,00",2020,Вінниця,Енергоменеджер
Втрат води в мережах,"9250110,00",2020,Вінниця,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку","23985918,00",2020,Вінниця,Енергоменеджер
Годин без холодного водопостачання внаслідок аварій,"3,00",2020,Вінниця,Енергоменеджер
Аварій в системі холодного водопостачання,"1361,00",2020,Вінниця,Енергоменеджер
Мереж водопостачання в аварійному стані,"172,70",2020,Вінниця,Енергоменеджер
Годин без водовідведення та каналізації внаслідок аварій,"3,00",2020,Вінниця,Енергоменеджер
Аварій в системі водовідведення та каналізації,"34,00",2020,Вінниця,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,"97,60",2020,Вінниця,Енергоменеджер
Домогосподарств із централізованим водопостачанням,"129835,00",2020,Вінниця,Енергоменеджер
Викидів СО2 за рік,"1767837,44",2020,Вінниця,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,"2,00",2020,Вінниця,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях","7,00",2020,Вінниця,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом","125,00",2020,Вінниця,Енергоменеджер
Коштів на мотивацію енергоменеджерів та установ,"0,10",2020,Вінниця,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком","74,00",2020,Вінниця,Енергоменеджер
Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,"2,00",2020,Вінниця,Енергоменеджер
Використано палива за рік,"1688176610,00",2020,Вінниця,Енергоменеджер
Використано бензину за рік,"331252650,00",2020,Вінниця,Енергоменеджер
Використано дизпалива за рік,"1171873680,00",2020,Вінниця,Енергоменеджер
Використано автомобільних газів за рік,"185050280,00",2020,Вінниця,Енергоменеджер
Використано електроенергії транспортними засобами за рік,"28043400,00",2020,Вінниця,Енергоменеджер
"Вся енергія, спожита в громаді","1438177895,80",2020,Вінниця,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,"602797856,80",2020,Вінниця,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,"33072,80",2020,Вінниця,Енергоменеджер
Спожито гарячої води від підприємств ГВП,"6307,00",2020,Вінниця,Енергоменеджер
Годин без електропостачання внаслідок аварій,"2032,00",2020,Вінниця,Енергоменеджер
Аварій в системі електропостачання,"1265,00",2020,Вінниця,Енергоменеджер
Годин без теплопостачання внаслідок аварій,"1702,00",2020,Вінниця,Енергоменеджер
Аварій в системі теплопостачання,"118,00",2020,Вінниця,Енергоменеджер
Годин без газопостачання внаслідок аварій,"245,00",2020,Вінниця,Енергоменеджер
Аварій в системі газопостачання,"6,00",2020,Вінниця,Енергоменеджер
Годин без гарячого водопостачання внаслідок аварій,"29732,00",2020,Вінниця,Енергоменеджер
Аварій в системі гарячого водопостачання,"375,00",2020,Вінниця,Енергоменеджер
Домогосподарств із централізованим теплопостачанням,"82362,00",2020,Вінниця,Енергоменеджер
Домогосподарств із централізованим ГВП,"47613,00",2020,Вінниця,Енергоменеджер
Кількість діб надання ГВП,"366,00",2020,Вінниця,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,"19511,00",2020,Вінниця,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,"19232,00",2020,Вінниця,Енергоменеджер
Спожито енергії в закладах культури,"313,29",2020,Вінниця,Енергоменеджер
Спожито енергії в спортивних закладах,"117,21",2020,Вінниця,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,"2536,36",2020,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"261363274,00",2020,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"407383781,00",2020,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"805570130,73",2020,Вінниця,Енергоменеджер
Спожито гарячої води в житловому секторі,"80919965,80",2020,Вінниця,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,"407391793,10",2020,Вінниця,Енергоменеджер
Спожито енергії в приватних будинках,"81196215,00",2020,Вінниця,Енергоменеджер
Спожито енергії в житловому секторі,"668747055,00",2020,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"261363274,00",2020,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"407383781,00",2020,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"805570130,73",2020,Вінниця,Енергоменеджер
Видатки на ПЕР в бюджетних установах,"102,49",2020,Вінниця,Енергоменеджер
"Осіб, котрим надається водопостачання","363990,00",2020,Вінниця,Енергоменеджер
Спожито енергоресурсів підприємствами водопостачання,"23587000,00",2020,Вінниця,Енергоменеджер
Каналізаційних стоків за рік,"23985918,00",2020,Вінниця,Енергоменеджер
Мулу із каналізаційних стоків за рік,"20695,80",2020,Вінниця,Енергоменеджер
Мереж водопостачання,"631,50",2020,Вінниця,Енергоменеджер
Мереж водовідведення та каналізації,"551,00",2020,Вінниця,Енергоменеджер
Бюджетних установ,"125,00",2020,Вінниця,Енергоменеджер
Структурних підрозділів в ОМС,"33,00",2020,Вінниця,Енергоменеджер
Транспортних засобів,"15244,00",2020,Вінниця,Енергоменеджер
Транспортних засобів із ДВЗ,"12160,00",2020,Вінниця,Енергоменеджер
Транспортних засобів із ГБО,"93,00",2020,Вінниця,Енергоменеджер
Електромобілів,"387,00",2020,Вінниця,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,"903129689,00",2020,Вінниця,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,"903129689,00",2020,Вінниця,Енергоменеджер
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,-,2020,Вінниця,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,"11758,00",2020,Вінниця,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,"40812,00",2020,Вінниця,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,"102,00",2020,Вінниця,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,"900,00",2020,Вінниця,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,"107348,00",2020,Вінниця,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,"107572,00",2020,Вінниця,Енергоменеджер
Домогосподарств із електропостачанням,"155237,00",2020,Вінниця,Енергоменеджер
Домогосподарств із теплопостачанням,"82362,00",2020,Вінниця,Енергоменеджер
Домогосподарств із газопостачанням,"149589,00",2020,Вінниця,Енергоменеджер
Домогосподарств із гарячим водопостачанням,"47613,00",2020,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,"793123,60",2020,Вінниця,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,"36483,30",2020,Вінниця,Енергоменеджер
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)","364786,00",2018,Вінниця,Обленерго
Спожито електроенергії в житловому секторі,"282554910,00",2018,Вінниця,Обленерго
"Вся електроенергія, спожита в громаді","860125943,00",2018,Вінниця,Обленерго
Домогосподарств із електропостачанням,"150550,00",2018,Вінниця,Обленерго
Годин без електропостачання внаслідок аварій,"2445,00",2018,Вінниця,Обленерго
Аварій в системі електропостачання,"1475,00",2018,Вінниця,Обленерго
Спожито енергії в приватних будинках,"87836473,00",2018,Вінниця,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)","710756,00",2019,Вінниця,Обленерго
Спожито електроенергії в житловому секторі,"251117049,00",2019,Вінниця,Обленерго
"Вся електроенергія, спожита в громаді","848146639,00",2019,Вінниця,Обленерго
Домогосподарств із електропостачанням,"153712,00",2019,Вінниця,Обленерго
Годин без електропостачання внаслідок аварій,"2172,00",2019,Вінниця,Обленерго
