Показник,Значення,Рік,Громада,Джерело
Аварій в системі теплопостачання,19,2018,Сєвєродонецьк,Енергоменеджер
Годин без газопостачання внаслідок аварій,990,2018,Сєвєродонецьк,Енергоменеджер
Аварій в системі газопостачання,1493,2018,Сєвєродонецьк,Енергоменеджер
Аварій в системі електропостачання,183,2019,Сєвєродонецьк,Енергоменеджер
Годин без теплопостачання внаслідок аварій,506,2019,Сєвєродонецьк,Енергоменеджер
Аварій в системі теплопостачання,16,2019,Сєвєродонецьк,Енергоменеджер
Годин без газопостачання внаслідок аварій,1377,2019,Сєвєродонецьк,Енергоменеджер
Аварій в системі газопостачання,1429,2019,Сєвєродонецьк,Енергоменеджер
Аварій в системі електропостачання,255,2020,Сєвєродонецьк,Енергоменеджер
Годин без теплопостачання внаслідок аварій,547,2020,Сєвєродонецьк,Енергоменеджер
Аварій в системі теплопостачання,20,2020,Сєвєродонецьк,Енергоменеджер
Годин без газопостачання внаслідок аварій,1641,2020,Сєвєродонецьк,Енергоменеджер
Аварій в системі газопостачання,912,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в громадських будівлях,28152,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,6887,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,15884,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах охорони здоров'я,2230,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах культури,672,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в спортивних закладах,1952,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,527,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,15884,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в громадських будівлях,27287,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,6279,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,15288,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах охорони здоров'я,1960,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах культури,986,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в спортивних закладах,2380,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,394,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,15288,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в громадських будівлях,23197,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,5359,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,11667,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах охорони здоров'я,2300,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в закладах культури,815,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в спортивних закладах,2666,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,390,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,11667,2020,Сєвєродонецьк,Енергоменеджер
Інвестовано в енергоефективність громадських будівель,23.7,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа утеплених громадських будівель,4893,2018,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,95360094,2018,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,289082258,2018,Сєвєродонецьк,Енергоменеджер
Спожито природного газу в житловому секторі,163036072,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,380630996,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,1045622,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в приватних будинках,8787556,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергії в житловому секторі,547478424,2018,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,95360004,2018,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,251956972,2018,Сєвєродонецьк,Енергоменеджер
