Показник,Значення,Рік,Громада,Джерело
Мулу із каналізаційних стоків за рік,4769.8,2019,Нововолинськ,Енергоменеджер
Мереж водопостачання,206.1,2019,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації,122.2,2019,Нововолинськ,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,808,2019,Нововолинськ,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,220,2019,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель,88769.9,2019,Нововолинськ,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,17719.6,2019,Нововолинськ,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,50728.3,2019,Нововолинськ,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,1742.3,2019,Нововолинськ,Енергоменеджер
Опалювальна площа закладів культури,9859.3,2019,Нововолинськ,Енергоменеджер
Опалювальна площа спортивних закладів,5145.2,2019,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,88769.9,2019,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,646761,2019,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,62697,2019,Нововолинськ,Енергоменеджер
Спожито холодної води населенням,1967340,2020,Нововолинськ,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,2490800,2020,Нововолинськ,Енергоменеджер
Втрат води в мережах,1201810,2020,Нововолинськ,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку",2160350,2020,Нововолинськ,Енергоменеджер
Аварій в системі холодного водопостачання,289,2020,Нововолинськ,Енергоменеджер
Мереж водопостачання в аварійному стані,136,2020,Нововолинськ,Енергоменеджер
Аварій в системі водовідведення та каналізації,275,2020,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,103,2020,Нововолинськ,Енергоменеджер
Домогосподарств із централізованим водопостачанням,4028,2020,Нововолинськ,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,3,2020,Нововолинськ,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,0.2,2020,Нововолинськ,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",2,2020,Нововолинськ,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",59,2020,Нововолинськ,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,3,2020,Нововолинськ,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",1,2020,Нововолинськ,Енергоменеджер
Кількість заправних та зарядних станцій,2,2020,Нововолинськ,Енергоменеджер
Кількість зарядних станцій для авто,1,2020,Нововолинськ,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,75682,2020,Нововолинськ,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,75682,2020,Нововолинськ,Енергоменеджер
Спожито енергії в закладах культури,0.07757,2020,Нововолинськ,Енергоменеджер
Спожито енергії в спортивних закладах,37,2020,Нововолинськ,Енергоменеджер
Опалювальна площа утеплених громадських будівель,89514.4,2020,Нововолинськ,Енергоменеджер
Спожито теплової енергії в житловому секторі,71846651,2020,Нововолинськ,Енергоменеджер
Каналізаційних стоків за рік,2160350,2020,Нововолинськ,Енергоменеджер
Мулу із каналізаційних стоків за рік,4099,2020,Нововолинськ,Енергоменеджер
Мереж водопостачання,212.34,2020,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації,124.1,2020,Нововолинськ,Енергоменеджер
Бюджетних установ,157,2020,Нововолинськ,Енергоменеджер
"Будівель бюджетних установ, в котрих доцільно проводити",157,2020,Нововолинськ,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,471,2020,Нововолинськ,Енергоменеджер
